,gene_id,gene_name,gene_ontology
6029,b1969,hprR,"negative regulation of transcription, DNA-templated"
6030,b1969,hprR,"positive regulation of transcription, DNA-templated"
6031,b1969,hprR,"positive regulation of transcription, DNA-templated"
6032,b1969,hprR,"regulation of transcription, DNA-templated"
6033,b1969,hprR,cytoplasm
6034,b1969,hprR,cytoplasm
6035,b1969,hprR,DNA binding
6036,b1969,hprR,DNA binding
6037,b1969,hprR,DNA binding
6038,b1969,hprR,phosphorelay signal transduction system
6039,b1969,hprR,phosphorelay signal transduction system
6040,b1969,hprR,"transcription, DNA-templated"
6041,b1969,hprR,"transcription, DNA-templated"
6042,b1969,hprR,DNA binding
6043,b1969,hprR,"positive regulation of transcription, DNA-templated"
6044,b1969,hprR,"positive regulation of transcription, DNA-templated"
6045,b1969,hprR,"negative regulation of transcription, DNA-templated"
6046,b1969,hprR,"negative regulation of transcription, DNA-templated"
6047,b1969,hprR,phosphorelay response regulator activity
6048,b1969,hprR,DNA-binding transcription factor activity
6049,b1969,hprR,DNA-binding transcription activator activity
6050,b1969,hprR,transcription regulatory region sequence-specific DNA binding
6051,b1969,hprR,protein-DNA complex
6052,b1969,hprR,cytosol
6053,b1638,pdxH,pyridoxamine-phosphate oxidase activity
6054,b1638,pdxH,oxidoreductase activity
6055,b1638,pdxH,oxidation-reduction process
6056,b1638,pdxH,vitamin B6 metabolic process
6057,b1638,pdxH,protein-containing complex
6058,b1638,pdxH,'de novo' pyridoxal 5'-phosphate biosynthetic process
6059,b1638,pdxH,'de novo' pyridoxal 5'-phosphate biosynthetic process
6060,b1638,pdxH,riboflavin binding
6061,b1638,pdxH,phosphate ion binding
6062,b1638,pdxH,cytosol
6063,b1638,pdxH,"oxidoreductase activity, acting on the CH-NH2 group of donors"
6064,b1638,pdxH,oxidoreductase activity
6065,b1638,pdxH,oxidation-reduction process
6066,b1638,pdxH,oxidation-reduction process
6067,b1638,pdxH,FMN binding
6068,b1638,pdxH,FMN binding
6069,b1638,pdxH,FMN binding
6070,b1638,pdxH,FMN binding
6071,b1638,pdxH,pyridoxamine-phosphate oxidase activity
6072,b1638,pdxH,pyridoxamine-phosphate oxidase activity
6073,b1638,pdxH,pyridoxamine-phosphate oxidase activity
6074,b1638,pdxH,pyridoxamine-phosphate oxidase activity
6075,b1638,pdxH,pyridoxine biosynthetic process
6076,b1638,pdxH,pyridoxine biosynthetic process
6077,b1638,pdxH,pyridoxamine-phosphate oxidase activity
6078,b1638,pdxH,pyridoxal phosphate biosynthetic process
6079,b2134,pbpG,hydrolase activity
6080,b2134,pbpG,serine-type D-Ala-D-Ala carboxypeptidase activity
6081,b2134,pbpG,proteolysis
6082,b2134,pbpG,endopeptidase activity
6083,b2134,pbpG,FtsZ-dependent cytokinesis
6084,b2134,pbpG,FtsZ-dependent cytokinesis
6085,b2134,pbpG,peptidoglycan metabolic process
6086,b2134,pbpG,periplasmic space
6087,b2134,pbpG,periplasmic space
6088,b2134,pbpG,regulation of cell shape
6089,b2134,pbpG,cell wall organization
6090,b2134,pbpG,cell wall organization
6091,b2134,pbpG,response to drug
6092,b2134,pbpG,peptidoglycan biosynthetic process
6093,b2134,pbpG,endopeptidase activity
6094,b3019,parC,chromosome segregation
6095,b3019,parC,DNA topoisomerase activity
6096,b3019,parC,extrinsic component of plasma membrane
6097,b3019,parC,cytoplasm
6098,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
6099,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
6100,b3019,parC,DNA topological change
6101,b3019,parC,DNA binding
6102,b3019,parC,plasmid partitioning
6103,b3019,parC,DNA topological change
6104,b3019,parC,chromosome segregation
6105,b3019,parC,sister chromatid cohesion
6106,b3019,parC,membrane
6107,b3019,parC,DNA metabolic process
6108,b3019,parC,plasma membrane
6109,b3019,parC,plasma membrane
6110,b3019,parC,chromosome
6111,b3019,parC,ATP binding
6112,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
6113,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
6114,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
6115,b3019,parC,cytosol
6116,b3019,parC,protein binding
6117,b3019,parC,protein binding
6118,b3019,parC,protein binding
6119,b3019,parC,protein binding
6120,b3019,parC,protein binding
6121,b3019,parC,protein binding
6122,b3019,parC,extrinsic component of plasma membrane
6123,b3019,parC,chromosome segregation
6124,b3019,parC,isomerase activity
6125,b3019,parC,DNA topological change
6126,b3019,parC,DNA topological change
6127,b3019,parC,DNA topoisomerase activity
6128,b3019,parC,DNA topoisomerase activity
6129,b3019,parC,DNA binding
6130,b3019,parC,DNA binding
6131,b3019,parC,DNA binding
6132,b3019,parC,ATP binding
6133,b3019,parC,DNA topological change
6134,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
6135,b3019,parC,cytoplasm
6136,b3019,parC,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
6137,b3019,parC,chromosome segregation
6138,b3019,parC,DNA binding
6139,b2373,oxc,nucleotide binding
6140,b2373,oxc,identical protein binding
6141,b2373,oxc,identical protein binding
6142,b2373,oxc,carboxy-lyase activity
6143,b2373,oxc,lyase activity
6144,b2373,oxc,catalytic activity
6145,b2373,oxc,cellular response to acidic pH
6146,b2373,oxc,metal ion binding
6147,b2373,oxc,metal ion binding
6148,b2373,oxc,magnesium ion binding
6149,b2373,oxc,magnesium ion binding
6150,b2373,oxc,oxalate catabolic process
6151,b2373,oxc,oxalate catabolic process
6152,b2373,oxc,oxalate catabolic process
6153,b2373,oxc,ADP binding
6154,b2373,oxc,thiamine pyrophosphate binding
6155,b2373,oxc,thiamine pyrophosphate binding
6156,b2373,oxc,oxalyl-CoA decarboxylase activity
6157,b2373,oxc,oxalyl-CoA decarboxylase activity
6158,b2373,oxc,oxalyl-CoA decarboxylase activity
6159,b2373,oxc,fatty acid alpha-oxidation
6160,b2373,oxc,oxalyl-CoA decarboxylase activity
6161,b2373,oxc,oxalate catabolic process
6162,b2373,oxc,thiamine pyrophosphate binding
6163,b2764,cysJ,sulfate assimilation
6164,b2764,cysJ,sulfate assimilation
6165,b2764,cysJ,NADP+ binding
6166,b2764,cysJ,oxidoreductase activity
6167,b2764,cysJ,oxidoreductase activity
6168,b2764,cysJ,hydrogen sulfide biosynthetic process
6169,b2764,cysJ,hydrogen sulfide biosynthetic process
6170,b2764,cysJ,riboflavin reductase (NADPH) activity
6171,b2764,cysJ,sulfite reductase complex (NADPH)
6172,b2764,cysJ,flavin adenine dinucleotide binding
6173,b2764,cysJ,flavin adenine dinucleotide binding
6174,b2764,cysJ,flavin adenine dinucleotide binding
6175,b2764,cysJ,oxidation-reduction process
6176,b2764,cysJ,oxidation-reduction process
6177,b2764,cysJ,oxidation-reduction process
6178,b2764,cysJ,cysteine biosynthetic process
6179,b2764,cysJ,cysteine biosynthetic process
6180,b2764,cysJ,FMN binding
6181,b2764,cysJ,FMN binding
6182,b2764,cysJ,cellular amino acid biosynthetic process
6183,b2764,cysJ,protein binding
6184,b2764,cysJ,protein binding
6185,b2764,cysJ,sulfite reductase (NADPH) activity
6186,b2764,cysJ,sulfite reductase (NADPH) activity
6187,b2764,cysJ,sulfite reductase (NADPH) activity
6188,b2764,cysJ,flavin adenine dinucleotide binding
6189,b2764,cysJ,cytosol
6190,b2764,cysJ,FMN binding
6191,b2764,cysJ,oxidoreductase activity
6192,b2761,cas3,"DNA catabolic process, exonucleolytic"
6193,b2761,cas3,single-stranded DNA endodeoxyribonuclease activity
6194,b2761,cas3,3'-5'-exodeoxyribonuclease activity
6195,b2761,cas3,"DNA catabolic process, endonucleolytic"
6196,b2761,cas3,metal ion binding
6197,b2761,cas3,hydrolase activity
6198,b2761,cas3,helicase activity
6199,b2761,cas3,DNA binding
6200,b2761,cas3,nucleic acid binding
6201,b2761,cas3,exonuclease activity
6202,b2761,cas3,endonuclease activity
6203,b2761,cas3,nuclease activity
6204,b2761,cas3,DNA/RNA hybrid annealing activity
6205,b2761,cas3,DNA/RNA helicase activity
6206,b2761,cas3,double-stranded DNA binding
6207,b2761,cas3,magnesium ion binding
6208,b2761,cas3,defense response to virus
6209,b2761,cas3,defense response to virus
6210,b2761,cas3,defense response to virus
6211,b2761,cas3,ATP binding
6212,b2761,cas3,ATP binding
6213,b2761,cas3,nucleotide binding
6214,b2761,cas3,ribosome
6215,b2761,cas3,RNA strand annealing activity
6216,b2761,cas3,cytosol
6217,b2761,cas3,ribosomal large subunit assembly
6218,b2761,cas3,RNA helicase activity
6219,b2761,cas3,RNA binding
6220,b3422,rtcR,"regulation of transcription, DNA-templated"
6221,b3422,rtcR,transcription factor binding
6222,b3422,rtcR,DNA binding
6223,b3422,rtcR,"positive regulation of transcription, DNA-templated"
6224,b3422,rtcR,DNA-binding transcription factor activity
6225,b3422,rtcR,DNA-binding transcription factor activity
6226,b3422,rtcR,ATP binding
6227,b3422,rtcR,ATP binding
6228,b3422,rtcR,nucleotide binding
6229,b3422,rtcR,phosphorelay signal transduction system
6230,b0156,erpA,aerobic respiration
6231,b0156,erpA,protein maturation by iron-sulfur cluster transfer
6232,b0156,erpA,cytosol
6233,b0156,erpA,cytosol
6234,b0156,erpA,iron-sulfur cluster binding
6235,b0156,erpA,iron-sulfur cluster binding
6236,b0156,erpA,iron ion binding
6237,b0156,erpA,structural molecule activity
6238,b0156,erpA,metal ion binding
6239,b0156,erpA,aerobic respiration
6240,b0156,erpA,anaerobic respiration
6241,b0156,erpA,iron-sulfur cluster assembly
6242,b0156,erpA,iron-sulfur cluster assembly
6243,b0156,erpA,protein maturation
6244,b0156,erpA,"2 iron, 2 sulfur cluster binding"
6245,b0156,erpA,"4 iron, 4 sulfur cluster binding"
6246,b0156,erpA,protein maturation
6247,b0156,erpA,iron-sulfur cluster assembly
6248,b0156,erpA,cytosol
6249,b0156,erpA,"4 iron, 4 sulfur cluster binding"
6250,b0156,erpA,iron ion binding
6251,b0156,erpA,"2 iron, 2 sulfur cluster binding"
6252,b0156,erpA,protein maturation by [4Fe-4S] cluster transfer
6253,b1968,hprS,cellular response to DNA damage stimulus
6254,b1968,hprS,phosphorelay signal transduction system
6255,b1968,hprS,phosphorelay signal transduction system
6256,b1968,hprS,signal transduction by protein phosphorylation
6257,b1968,hprS,peptidyl-histidine phosphorylation
6258,b1968,hprS,protein phosphorylation
6259,b1968,hprS,protein binding
6260,b1968,hprS,"transferase activity, transferring phosphorus-containing groups"
6261,b1968,hprS,transferase activity
6262,b1968,hprS,phosphorylation
6263,b1968,hprS,phosphorylation
6264,b1968,hprS,kinase activity
6265,b1968,hprS,signal transduction
6266,b1968,hprS,phosphorelay sensor kinase activity
6267,b1968,hprS,nucleotide binding
6268,b1968,hprS,plasma membrane
6269,b1968,hprS,plasma membrane
6270,b1968,hprS,plasma membrane
6271,b1968,hprS,plasma membrane
6272,b1968,hprS,protein kinase activity
6273,b1968,hprS,integral component of membrane
6274,b1968,hprS,integral component of membrane
6275,b1968,hprS,membrane
6276,b1968,hprS,membrane
6277,b1968,hprS,ATP binding
6278,b1968,hprS,protein histidine kinase activity
6279,b1968,hprS,protein histidine kinase activity
6280,b1968,hprS,phosphorelay signal transduction system
6281,b1968,hprS,plasma membrane
6282,b2524,iscX,negative regulation of catalytic activity
6283,b2524,iscX,ferrous iron binding
6284,b2524,iscX,enzyme inhibitor activity
6285,b2524,iscX,cytosol
6286,b2524,iscX,iron-sulfur cluster assembly
6287,b2524,iscX,iron-sulfur cluster assembly
6288,b2524,iscX,iron ion binding
6289,b2524,iscX,protein binding
6290,b2524,iscX,protein binding
6291,b2524,iscX,protein binding
6292,b2524,iscX,cytosol
6293,b2524,iscX,iron ion binding
6294,b2524,iscX,ferrous iron binding
6295,b2524,iscX,iron-sulfur cluster assembly
6296,b4111,proP,integral component of membrane
6297,b4111,proP,plasma membrane
6298,b4111,proP,amino acid transport
6299,b4111,proP,proton transmembrane transport
6300,b4111,proP,cellular hyperosmotic salinity response
6301,b4111,proP,osmosensory signaling pathway
6302,b4111,proP,protein binding
6303,b4111,proP,cellular hyperosmotic response
6304,b4111,proP,proline import across plasma membrane
6305,b4111,proP,proline import across plasma membrane
6306,b4111,proP,proline import across plasma membrane
6307,b4111,proP,proline import across plasma membrane
6308,b4111,proP,glycine betaine transport
6309,b4111,proP,transmembrane transporter activity
6310,b4111,proP,integral component of membrane
6311,b4111,proP,integral component of membrane
6312,b4111,proP,membrane
6313,b4111,proP,symporter activity
6314,b4111,proP,transmembrane transport
6315,b4111,proP,integral component of plasma membrane
6316,b4111,proP,proline:proton symporter activity
6317,b4111,proP,proline:proton symporter activity
6318,b4111,proP,plasma membrane
6319,b4111,proP,plasma membrane
6320,b4111,proP,plasma membrane
6321,b4111,proP,plasma membrane
6322,b4111,proP,plasma membrane
6323,b4111,proP,plasma membrane
6324,b4111,proP,plasma membrane
6325,b3424,glpG,identical protein binding
6326,b3424,glpG,identical protein binding
6327,b3424,glpG,integral component of plasma membrane
6328,b3424,glpG,integral component of plasma membrane
6329,b3424,glpG,integral component of plasma membrane
6330,b3424,glpG,endopeptidase activity
6331,b3424,glpG,hydrolase activity
6332,b3424,glpG,membrane
6333,b3424,glpG,peptidase activity
6334,b3424,glpG,serine-type endopeptidase activity
6335,b3424,glpG,serine-type endopeptidase activity
6336,b3424,glpG,serine-type endopeptidase activity
6337,b3424,glpG,serine-type endopeptidase activity
6338,b3424,glpG,serine-type endopeptidase activity
6339,b3424,glpG,proteolysis
6340,b3424,glpG,proteolysis
6341,b3424,glpG,proteolysis
6342,b3424,glpG,proteolysis
6343,b3424,glpG,proteolysis
6344,b3424,glpG,proteolysis
6345,b3424,glpG,proteolysis
6346,b3424,glpG,serine-type peptidase activity
6347,b3424,glpG,plasma membrane
6348,b3424,glpG,plasma membrane
6349,b3424,glpG,plasma membrane
6350,b3424,glpG,plasma membrane
6351,b3424,glpG,plasma membrane
6352,b3424,glpG,plasma membrane
6353,b3424,glpG,plasma membrane
6354,b3424,glpG,integral component of membrane
6355,b3424,glpG,integral component of membrane
6356,b4376,osmY,hyperosmotic response
6357,b4376,osmY,chaperone-mediated protein folding
6358,b4376,osmY,protein binding
6359,b4376,osmY,protein binding
6360,b4376,osmY,outer membrane-bounded periplasmic space
6361,b4376,osmY,outer membrane-bounded periplasmic space
6362,b4376,osmY,outer membrane-bounded periplasmic space
6363,b4376,osmY,periplasmic space
6364,b4376,osmY,periplasmic space
6365,b4376,osmY,response to osmotic stress
6366,b4376,osmY,outer membrane-bounded periplasmic space
6367,b1482,osmC,cellular oxidant detoxification
6368,b1482,osmC,cellular oxidant detoxification
6369,b1482,osmC,cellular oxidant detoxification
6370,b1482,osmC,hyperosmotic response
6371,b1482,osmC,response to hydroperoxide
6372,b1482,osmC,cytosol
6373,b1482,osmC,cytosol
6374,b1482,osmC,oxidoreductase activity
6375,b1482,osmC,antioxidant activity
6376,b1482,osmC,response to oxidative stress
6377,b1482,osmC,response to oxidative stress
6378,b1482,osmC,oxidation-reduction process
6379,b1482,osmC,peroxiredoxin activity
6380,b1482,osmC,peroxiredoxin activity
6381,b1482,osmC,cytoplasm
6382,b1482,osmC,cytoplasm
6383,b1482,osmC,peroxidase activity
6384,b1482,osmC,peroxidase activity
6385,b1482,osmC,peroxidase activity
6386,b1245,oppC,transmembrane transport
6387,b1245,oppC,peptidoglycan-associated peptide transport
6388,b1245,oppC,peptidoglycan peptide transmembrane transporter activity
6389,b1245,oppC,peptide transport
6390,b1245,oppC,protein transport
6391,b1245,oppC,membrane
6392,b1245,oppC,membrane
6393,b1245,oppC,plasma membrane
6394,b1245,oppC,plasma membrane
6395,b1245,oppC,plasma membrane
6396,b1245,oppC,plasma membrane
6397,b1245,oppC,plasma membrane
6398,b1245,oppC,integral component of membrane
6399,b1244,oppB,transmembrane transport
6400,b1244,oppB,peptidoglycan-associated peptide transport
6401,b1244,oppB,peptidoglycan peptide transmembrane transporter activity
6402,b1244,oppB,peptide transport
6403,b1244,oppB,protein transport
6404,b1244,oppB,membrane
6405,b1244,oppB,membrane
6406,b1244,oppB,plasma membrane
6407,b1244,oppB,plasma membrane
6408,b1244,oppB,plasma membrane
6409,b1244,oppB,plasma membrane
6410,b1244,oppB,plasma membrane
6411,b1244,oppB,integral component of membrane
6412,b1335,ogt,DNA dealkylation involved in DNA repair
6413,b1335,ogt,DNA dealkylation involved in DNA repair
6414,b1335,ogt,DNA dealkylation involved in DNA repair
6415,b1335,ogt,DNA dealkylation involved in DNA repair
6416,b1335,ogt,catalytic activity
6417,b1335,ogt,methylation
6418,b1335,ogt,transferase activity
6419,b1335,ogt,methyltransferase activity
6420,b1335,ogt,cellular response to DNA damage stimulus
6421,b1335,ogt,DNA repair
6422,b1335,ogt,DNA repair
6423,b1335,ogt,methylated-DNA-[protein]-cysteine S-methyltransferase activity
6424,b1335,ogt,methylated-DNA-[protein]-cysteine S-methyltransferase activity
6425,b1335,ogt,methylated-DNA-[protein]-cysteine S-methyltransferase activity
6426,b1335,ogt,methylated-DNA-[protein]-cysteine S-methyltransferase activity
6427,b1335,ogt,methylated-DNA-[protein]-cysteine S-methyltransferase activity
6428,b1335,ogt,methylated-DNA-[protein]-cysteine S-methyltransferase activity
6429,b1335,ogt,cytoplasm
6430,b1335,ogt,cytoplasm
6431,b1335,ogt,cytoplasm
6432,b2898,ygfZ,cytosol
6433,b2898,ygfZ,cytosol
6434,b2898,ygfZ,RNA modification
6435,b2898,ygfZ,tRNA processing
6436,b2898,ygfZ,tRNA processing
6437,b2898,ygfZ,cytoplasm
6438,b2898,ygfZ,cytoplasm
6439,b2898,ygfZ,cytoplasm
6440,b2898,ygfZ,folic acid binding
6441,b2898,ygfZ,folic acid binding
6442,b2898,ygfZ,folic acid binding
6443,b2898,ygfZ,folic acid binding
6444,b2898,ygfZ,folic acid binding
6445,b2898,ygfZ,iron-sulfur cluster assembly
6446,b1955,yedP,metal ion binding
6447,b1955,yedP,dephosphorylation
6448,b1955,yedP,dephosphorylation
6449,b1955,yedP,mannosylglycerate biosynthetic process
6450,b1955,yedP,mannosyl-3-phosphoglycerate phosphatase activity
6451,b1955,yedP,mannosyl-3-phosphoglycerate phosphatase activity
6452,b1955,yedP,mannosyl-3-phosphoglycerate phosphatase activity
6453,b1955,yedP,hydrolase activity
6454,b1955,yedP,cytoplasm
6455,b1955,yedP,cytoplasm
6456,b1955,yedP,cytoplasm
6457,b1955,yedP,cytoplasm
6458,b1955,yedP,cytosol
6459,b1955,yedP,phosphatase activity
6460,b1955,yedP,magnesium ion binding
6461,b2248,yfaX,protein binding
6462,b2248,yfaX,"regulation of transcription, DNA-templated"
6463,b2248,yfaX,DNA binding
6464,b2248,yfaX,DNA binding
6465,b2248,yfaX,"transcription, DNA-templated"
6466,b2248,yfaX,"negative regulation of transcription, DNA-templated"
6467,b2248,yfaX,DNA-binding transcription factor activity
6468,b2248,yfaX,DNA binding
6469,b0114,aceE,pyruvate dehydrogenase activity
6470,b0114,aceE,cytosolic pyruvate dehydrogenase complex
6471,b0114,aceE,thiamine pyrophosphate binding
6472,b0114,aceE,magnesium ion binding
6473,b0114,aceE,oxidoreductase activity
6474,b0114,aceE,oxidoreductase activity
6475,b0114,aceE,catalytic activity
6476,b0114,aceE,identical protein binding
6477,b0114,aceE,oxidation-reduction process
6478,b0114,aceE,oxidation-reduction process
6479,b0114,aceE,metal ion binding
6480,b0114,aceE,glycolytic process
6481,b0114,aceE,protein binding
6482,b0114,aceE,protein binding
6483,b0114,aceE,protein binding
6484,b0114,aceE,protein binding
6485,b0114,aceE,protein binding
6486,b0114,aceE,protein binding
6487,b0114,aceE,protein binding
6488,b0114,aceE,protein binding
6489,b0114,aceE,protein binding
6490,b0114,aceE,protein binding
6491,b0114,aceE,protein binding
6492,b0114,aceE,protein binding
6493,b0114,aceE,protein binding
6494,b0114,aceE,protein binding
6495,b0114,aceE,protein binding
6496,b0114,aceE,pyruvate dehydrogenase (acetyl-transferring) activity
6497,b0727,sucB,oxoglutarate dehydrogenase complex
6498,b0727,sucB,tricarboxylic acid cycle
6499,b0727,sucB,dihydrolipoyllysine-residue succinyltransferase activity
6500,b0727,sucB,dihydrolipoyllysine-residue succinyltransferase activity
6501,b0727,sucB,lipoic acid binding
6502,b0727,sucB,cytosol
6503,b0727,sucB,cytosol
6504,b0727,sucB,cytosol
6505,b0727,sucB,protein binding
6506,b0727,sucB,protein binding
6507,b0727,sucB,protein binding
6508,b0727,sucB,protein binding
6509,b0727,sucB,protein binding
6510,b0727,sucB,protein binding
6511,b0727,sucB,"transferase activity, transferring acyl groups"
6512,b0727,sucB,"transferase activity, transferring acyl groups"
6513,b0727,sucB,transferase activity
6514,b0727,sucB,L-lysine catabolic process to acetyl-CoA via saccharopine
6515,b0727,sucB,oxoglutarate dehydrogenase complex
6516,b0727,sucB,tricarboxylic acid cycle
6517,b0727,sucB,tricarboxylic acid cycle
6518,b0727,sucB,dihydrolipoyllysine-residue succinyltransferase activity
6519,b0727,sucB,dihydrolipoyllysine-residue succinyltransferase activity
6520,b0726,sucA,nucleotide binding
6521,b0726,sucA,magnesium ion binding
6522,b0726,sucA,identical protein binding
6523,b0726,sucA,identical protein binding
6524,b0726,sucA,protein binding
6525,b0726,sucA,protein binding
6526,b0726,sucA,protein binding
6527,b0726,sucA,protein binding
6528,b0726,sucA,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"
6529,b0726,sucA,oxidoreductase activity
6530,b0726,sucA,thiamine pyrophosphate binding
6531,b0726,sucA,thiamine pyrophosphate binding
6532,b0726,sucA,tricarboxylic acid cycle
6533,b0726,sucA,tricarboxylic acid cycle
6534,b0726,sucA,oxidation-reduction process
6535,b0726,sucA,oxidation-reduction process
6536,b0726,sucA,cytosol
6537,b0726,sucA,oxoglutarate dehydrogenase (succinyl-transferring) activity
6538,b0726,sucA,oxoglutarate dehydrogenase (succinyl-transferring) activity
6539,b0726,sucA,oxoglutarate dehydrogenase (succinyl-transferring) activity
6540,b0726,sucA,cytosol
6541,b0726,sucA,oxoglutarate dehydrogenase (succinyl-transferring) activity
6542,b0726,sucA,tricarboxylic acid cycle
6543,b0726,sucA,oxoglutarate dehydrogenase complex
6544,b3982,nusG,"DNA-templated transcription, elongation"
6545,b3982,nusG,protein binding
6546,b3982,nusG,protein binding
6547,b3982,nusG,protein binding
6548,b3982,nusG,protein binding
6549,b3982,nusG,protein binding
6550,b3982,nusG,"regulation of transcription, DNA-templated"
6551,b3982,nusG,"regulation of DNA-templated transcription, elongation"
6552,b3982,nusG,cytosol
6553,b3982,nusG,cytosol
6554,b3982,nusG,transcription antitermination
6555,b3982,nusG,transcription antitermination
6556,b3982,nusG,transcription antitermination
6557,b3982,nusG,"DNA-templated transcription, termination"
6558,b3982,nusG,"DNA-templated transcription, termination"
6559,b3982,nusG,"DNA-templated transcription, termination"
6560,b3982,nusG,cytosol
6561,b3031,yqiA,carboxylic ester hydrolase activity
6562,b3031,yqiA,hydrolase activity
6563,b3031,yqiA,"hydrolase activity, acting on ester bonds"
6564,b0832,gsiD,dipeptide transmembrane transport
6565,b0832,gsiD,transmembrane transport
6566,b0832,gsiD,ATP-binding cassette (ABC) transporter complex
6567,b0832,gsiD,integral component of plasma membrane
6568,b0832,gsiD,glutathione transmembrane transporter activity
6569,b0832,gsiD,glutathione transmembrane transport
6570,b0832,gsiD,plasma membrane
6571,b0832,gsiD,plasma membrane
6572,b0832,gsiD,plasma membrane
6573,b0832,gsiD,plasma membrane
6574,b0832,gsiD,integral component of membrane
6575,b0832,gsiD,membrane
6576,b0832,gsiD,membrane
6577,b0832,gsiD,dipeptide transmembrane transporter activity
6578,b0831,gsiC,transmembrane transport
6579,b0831,gsiC,ATP-binding cassette (ABC) transporter complex
6580,b0831,gsiC,integral component of plasma membrane
6581,b0831,gsiC,glutathione transmembrane transporter activity
6582,b0831,gsiC,glutathione transmembrane transport
6583,b0831,gsiC,plasma membrane
6584,b0831,gsiC,plasma membrane
6585,b0831,gsiC,plasma membrane
6586,b0831,gsiC,plasma membrane
6587,b0831,gsiC,plasma membrane
6588,b0831,gsiC,integral component of membrane
6589,b0831,gsiC,membrane
6590,b0831,gsiC,membrane
6591,b0831,gsiC,glutathione transmembrane transport
6592,b0831,gsiC,glutathione transmembrane transporter activity
6593,b0830,gsiB,cellular response to DNA damage stimulus
6594,b0830,gsiB,ATP-binding cassette (ABC) transporter complex
6595,b0830,gsiB,glutathione transport
6596,b0830,gsiB,transmembrane transport
6597,b0830,gsiB,outer membrane-bounded periplasmic space
6598,b0830,gsiB,outer membrane-bounded periplasmic space
6599,b0830,gsiB,outer membrane-bounded periplasmic space
6600,b0830,gsiB,periplasmic space
6601,b0830,gsiB,periplasmic space
6602,b0830,gsiB,outer membrane-bounded periplasmic space
6603,b0830,gsiB,peptide transmembrane transporter activity
6604,b0830,gsiB,peptide transport
6605,b0830,gsiB,dipeptide transport
6606,b0829,gsiA,transmembrane transport
6607,b0829,gsiA,ATPase-coupled transmembrane transporter activity
6608,b0829,gsiA,ATP-binding cassette (ABC) transporter complex
6609,b0829,gsiA,glutathione transmembrane transporter activity
6610,b0829,gsiA,integral component of plasma membrane
6611,b0829,gsiA,ATPase activity
6612,b0829,gsiA,hydrolase activity
6613,b0829,gsiA,peptide transport
6614,b0829,gsiA,glutathione transmembrane transport
6615,b0829,gsiA,plasma membrane
6616,b0829,gsiA,plasma membrane
6617,b0829,gsiA,plasma membrane
6618,b0829,gsiA,plasma membrane
6619,b0829,gsiA,membrane
6620,b0829,gsiA,ATP binding
6621,b0829,gsiA,ATP binding
6622,b0829,gsiA,ATP binding
6623,b0829,gsiA,nucleotide binding
6624,b0829,gsiA,nucleotide binding
6625,b1253,yciA,thiolester hydrolase activity
6626,b1253,yciA,hydrolase activity
6627,b1253,yciA,acyl-CoA hydrolase activity
6628,b1253,yciA,acyl-CoA hydrolase activity
6629,b1253,yciA,long-chain fatty acyl-CoA binding
6630,b1253,yciA,acyl-CoA metabolic process
6631,b1253,yciA,cytosol
6632,b1253,yciA,fatty-acyl-CoA binding
6633,b1253,yciA,fatty acid metabolic process
6634,b0823,ybiW,carbohydrate metabolic process
6635,b0823,ybiW,cytosol
6636,b0823,ybiW,catalytic activity
6637,b0823,ybiW,transferase activity
6638,b0823,ybiW,formate C-acetyltransferase activity
6639,b0823,ybiW,formate C-acetyltransferase activity
6640,b0823,ybiW,"transferase activity, transferring acyl groups"
6641,b0823,ybiW,cytoplasm
6642,b0823,ybiW,cytoplasm
6643,b0823,ybiW,cytoplasm
6644,b0823,ybiW,cytosol
6645,b1932,yedL,N-acetyltransferase activity
6646,b1932,yedL,transferase activity
6647,b1932,yedL,"transferase activity, transferring acyl groups"
6648,b3906,rhaR,DNA binding
6649,b3906,rhaR,DNA binding
6650,b3906,rhaR,"positive regulation of transcription, DNA-templated"
6651,b3906,rhaR,"positive regulation of transcription, DNA-templated"
6652,b3906,rhaR,DNA-binding transcription factor activity
6653,b3906,rhaR,DNA-binding transcription factor activity
6654,b3906,rhaR,"regulation of transcription, DNA-templated"
6655,b3906,rhaR,sequence-specific DNA binding
6656,b3906,rhaR,sequence-specific DNA binding
6657,b3906,rhaR,rhamnose metabolic process
6658,b3906,rhaR,rhamnose metabolic process
6659,b3906,rhaR,rhamnose metabolic process
6660,b3906,rhaR,"transcription, DNA-templated"
6661,b3906,rhaR,cytoplasm
6662,b3906,rhaR,cytoplasm
6663,b3906,rhaR,cytoplasm
6664,b3906,rhaR,cytoplasm
6665,b3905,rhaS,"positive regulation of transcription, DNA-templated"
6666,b3905,rhaS,sequence-specific DNA binding
